galaxy,n_radial,chi2_red_mond,chi2_red_heat_baseline,chi2_red_heat_full,mean_dex_res_mond,mean_dex_res_heat_baseline,mean_dex_res_heat_full
UGC07125_rotmod.dat,13,91.957953,78.349752,78.727375,-0.353706,-0.326674,-0.327401
UGC07151_rotmod.dat,11,3.428612,2.545126,2.583527,-0.054724,-0.029767,-0.032095
UGC07261_rotmod.dat,7,0.743565,0.785155,0.778714,0.011442,0.037107,0.035419
UGC07323_rotmod.dat,10,4.889054,3.144011,3.315947,-0.136120,-0.111090,-0.113563
UGC07399_rotmod.dat,10,110.378432,128.481812,127.317976,0.310207,0.335985,0.334452
UGC07524_rotmod.dat,31,4.469954,3.002757,3.066779,-0.058209,-0.031063,-0.031983
UGC07559_rotmod.dat,7,7.112963,5.902400,5.943664,-0.341358,-0.314051,-0.314898
UGC07577_rotmod.dat,9,7.620521,6.988462,7.003087,-0.713389,-0.685181,-0.685690
UGC07603_rotmod.dat,12,6.313440,9.253064,9.083354,0.064053,0.090196,0.088850
UGC07608_rotmod.dat,8,1.503349,2.123955,2.103198,0.079602,0.107247,0.106566
UGC07690_rotmod.dat,7,1.798941,1.300400,1.322393,-0.053491,-0.029119,-0.031635
UGC07866_rotmod.dat,7,2.963054,2.324838,2.346725,-0.232508,-0.205152,-0.205988
UGC08286_rotmod.dat,17,33.533689,46.195423,45.560149,0.131119,0.157741,0.156619
UGC08490_rotmod.dat,30,6.750774,10.080006,9.920689,0.105601,0.131993,0.130955
UGC08550_rotmod.dat,11,2.732371,4.605484,4.532325,0.038523,0.065585,0.064750
UGC08699_rotmod.dat,41,6.826011,11.638802,10.215168,0.032837,0.049062,0.044533
UGC08837_rotmod.dat,8,23.571596,20.256219,20.393068,-0.428904,-0.401839,-0.402871
UGC09037_rotmod.dat,22,33.469823,27.403575,28.425962,-0.217895,-0.196241,-0.199736
UGC09133_rotmod.dat,68,61.648117,33.488610,35.803880,-0.014359,0.002259,-0.000310
UGC09992_rotmod.dat,5,4.664558,3.981296,4.007833,-0.294408,-0.267634,-0.268649
UGC10310_rotmod.dat,7,2.137218,1.614391,1.644402,-0.043071,-0.016689,-0.017973
UGC11455_rotmod.dat,36,5.155497,3.902346,4.187629,-0.059485,-0.042072,-0.047164
UGC11557_rotmod.dat,12,12.394809,10.847096,11.123794,-0.538580,-0.515249,-0.518907
UGC11820_rotmod.dat,10,112.317825,73.754729,75.683373,-0.029283,-0.002340,-0.003199
UGC11914_rotmod.dat,65,80.387184,95.356746,93.568655,0.108576,0.116752,0.116289
UGC12506_rotmod.dat,31,10.538567,12.955997,12.604686,0.157229,0.179726,0.177115
UGC12632_rotmod.dat,15,6.113931,4.675570,4.726584,-0.030060,-0.002577,-0.003274
UGC12732_rotmod.dat,16,3.578076,3.303190,3.317117,0.008797,0.036101,0.035399
UGCA281_rotmod.dat,7,2.937460,1.679178,1.750657,-0.108263,-0.081908,-0.083413
UGCA442_rotmod.dat,8,4.060032,6.059992,6.018442,-0.053154,-0.025478,-0.026123
UGCA444_rotmod.dat,36,1.638832,1.160194,1.174128,-0.111727,-0.083855,-0.084544
